Symbol,Market,Market Cap,Market Cap Value,Market Cap Bucket,Signal,Close,EMA20,EMA30,Volume Confirm,Close > EMA20,Close > EMA30,EMA20 > EMA30,Bar Date
AMZN,USA,2.9T,2921415835648.0,Mega Cap,BREAKOUT BUY,271.5799865722656,244.54006466263814,240.9137608926107,True,True,True,True,2026-07-31
BRK-B,USA,1.1T,1103317041152.0,Mega Cap,BREAKOUT BUY,511.5400085449219,491.5267797190559,490.24830149577997,False,True,True,True,2026-06-05
V,USA,683.6B,683582029824.0,Mega Cap,BREAKOUT BUY,366.1300048828125,337.04298140909174,333.872618670309,True,True,True,True,2026-05-15
AAPL,USA,4.5T,4537070911488.0,Mega Cap,WATCH,308.9100036621094,296.87513529910876,287.3466923096198,True,True,True,True,2026-04-10
JNJ,USA,617.8B,617777463296.0,Mega Cap,WATCH,256.3500061035156,241.47031980318474,234.09338581237347,True,True,True,True,2026-06-05
JPM,USA,N/A,,Unknown,WATCH,351.7900085449219,321.9572180834451,316.1625824615838,False,True,True,True,2026-06-05
LLY,USA,N/A,,Unknown,WATCH,1148.8399658203125,1093.9164512588477,1056.7315080090875,False,True,True,True,2026-05-15
MA,USA,502.0B,502041247744.0,Mega Cap,WATCH,573.0999755859375,520.7758399563988,522.2169330470915,True,True,True,False,2026-07-03
MSFT,USA,3.5T,3450799652864.0,Mega Cap,WATCH,464.7200012207031,409.08120873745764,417.8217835272674,True,True,True,False,2026-07-31
XOM,USA,N/A,,Unknown,WATCH,155.44000244140625,146.07717653730685,142.93833096734087,False,True,True,True,2026-07-17
